2017/10/18 20:14:59 [error] 3868#8360: *1 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[::1]:8081/favicon.ico", host: "localhost:82"
2017/10/18 20:15:00 [error] 3868#8360: *4 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/js/jquery.min.js HTTP/1.1", upstream: "http://[::1]:8081/src/assets/js/jquery.min.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:15:00 [error] 3868#8360: *7 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/build.js HTTP/1.1", upstream: "http://[::1]:8081/dist/build.js", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:24:36 [error] 3868#8360: *25 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost:82"
2017/10/18 20:25:42 [error] 3868#8360: *30 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/56a089f91d9f70a08683.hot-update.json HTTP/1.1", upstream: "http://[::1]:8081/dist/56a089f91d9f70a08683.hot-update.json", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:26:47 [error] 3868#8360: *30 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/b86c78181328802a0b14.hot-update.json HTTP/1.1", upstream: "http://[::1]:8081/dist/b86c78181328802a0b14.hot-update.json", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:28:18 [error] 3868#8360: *57 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /dist/a802288a54385645a20e.hot-update.json HTTP/1.1", upstream: "http://[::1]:8081/dist/a802288a54385645a20e.hot-update.json", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:29:14 [error] 3868#8360: *57 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/css/bootstrap.min.css HTTP/1.1", upstream: "http://[::1]:8081/src/assets/css/bootstrap.min.css", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:29:38 [error] 3868#8360: *57 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost:82"
2017/10/18 20:30:01 [error] 3868#8360: *57 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /src/assets/css/bootstrap.min.css HTTP/1.1", upstream: "http://[::1]:8081/src/assets/css/bootstrap.min.css", host: "localhost:82", referrer: "http://localhost:82/"
2017/10/18 20:31:04 [error] 3868#8360: *70 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost:82"
